,CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,ENTIDAD,M_LAT,M_LON
162,77,"SALTO DE AGUA, CHIAPAS",7,CHIAPAS,17.4348976,-92.22480249886087
163,78,"SAN CRISTÓBAL DE LAS CASAS, CHIAPAS",7,CHIAPAS,16.6835469,-92.61551841991157
164,79,"SAN FERNANDO, CHIAPAS",7,CHIAPAS,16.9134645,-93.22038120187912
165,80,"SILTEPEC, CHIAPAS",7,CHIAPAS,15.5561492,-92.3226035
166,81,"SIMOJOVEL, CHIAPAS",7,CHIAPAS,17.14689625,-92.5391710397128
167,82,"SITALÁ, CHIAPAS",7,CHIAPAS,17.03746615,-92.34648936746166
168,83,"SOCOLTENANGO, CHIAPAS",7,CHIAPAS,16.1014695,-92.43423372138528
169,84,"SOLOSUCHIAPA, CHIAPAS",7,CHIAPAS,17.3951354,-93.00278627379103
170,85,"SOYALÓ, CHIAPAS",7,CHIAPAS,16.92600955,-92.99622749147807
171,86,"SUCHIAPA, CHIAPAS",7,CHIAPAS,16.5946329,-93.12695158588451
172,87,"SUCHIATE, CHIAPAS",7,CHIAPAS,14.6321744,-92.24196336095298
173,88,"SUNUAPA, CHIAPAS",7,CHIAPAS,17.4832621,-93.24241537192529
174,89,"TAPACHULA, CHIAPAS",7,CHIAPAS,14.9258055,-92.32219567868036
175,90,"TAPALAPA, CHIAPAS",7,CHIAPAS,17.21643325,-93.10340596690351
176,91,"TAPILULA, CHIAPAS",7,CHIAPAS,17.2496804,-93.0167904
177,92,"TECPATÁN, CHIAPAS",7,CHIAPAS,17.190123049999997,-93.55324456935477
178,93,"TENEJAPA, CHIAPAS",7,CHIAPAS,16.84780885,-92.49685799812426
179,94,"TEOPISCA, CHIAPAS",7,CHIAPAS,16.5525849,-92.52347123979129
180,96,"TILA, CHIAPAS",7,CHIAPAS,17.37045735,-92.49589936222122
181,97,"TONALÁ, CHIAPAS",7,CHIAPAS,15.98243615,-93.6970376729688
182,98,"TOTOLAPA, CHIAPAS",7,CHIAPAS,16.51150465,-92.66592535456337
183,99,"LA TRINITARIA, CHIAPAS",7,CHIAPAS,16.1206164,-92.0542431
184,100,"TUMBALÁ, CHIAPAS",7,CHIAPAS,17.309886,-92.28228610119173
185,101,"TUXTLA GUTIÉRREZ, CHIAPAS",7,CHIAPAS,16.753801,-93.115959
186,102,"TUXTLA CHICO, CHIAPAS",7,CHIAPAS,14.8768619,-92.19675245459757
187,103,"TUZANTÁN, CHIAPAS",7,CHIAPAS,15.141132500000001,-92.40637024317675
188,104,"TZIMOL, CHIAPAS",7,CHIAPAS,16.1794827,-92.1853154
189,105,"UNIÓN JUÁREZ, CHIAPAS",7,CHIAPAS,15.07074175,-92.09254280799922
190,106,"VENUSTIANO CARRANZA, CHIAPAS",7,CHIAPAS,16.30898425,-92.6379347298267
191,107,"VILLA CORZO, CHIAPAS",7,CHIAPAS,16.0631888,-93.26500252520376
192,108,"VILLAFLORES, CHIAPAS",7,CHIAPAS,16.37550225,-93.3589334041931
193,109,"YAJALÓN, CHIAPAS",7,CHIAPAS,17.1768885,-92.3519609858044
194,110,"SAN LUCAS, CHIAPAS",7,CHIAPAS,16.62792675,-92.7422107117313
195,111,"ZINACANTÁN, CHIAPAS",7,CHIAPAS,16.7122671,-92.78552589129347
196,112,"SAN JUAN CANCUC, CHIAPAS",7,CHIAPAS,16.930731700000003,-92.39020268936437
197,113,"ALDAMA, CHIAPAS",7,CHIAPAS,16.932319,-92.70031427129595
198,114,"BENEMÉRITO DE LAS AMÉRICAS, CHIAPAS",7,CHIAPAS,16.3393467,-90.50311996346099
199,115,"MARAVILLA TENEJAPA, CHIAPAS",7,CHIAPAS,16.212033249999998,-91.26877480989455
200,116,"MARQUÉS DE COMILLAS, CHIAPAS",7,CHIAPAS,16.274781400000002,-90.71794560440225
201,117,"MONTECRISTO DE GUERRERO, CHIAPAS",7,CHIAPAS,15.6778366,-92.66163089146103
202,118,"SAN ANDRÉS DURAZNAL, CHIAPAS",7,CHIAPAS,17.16180305,-92.80958755958432
203,119,"SANTIAGO EL PINAR, CHIAPAS",7,CHIAPAS,16.9484594,-92.72280710490242
204,120,"CAPITÁN LUIS ÁNGEL VIDAL, CHIAPAS",7,CHIAPAS,15.55624845,-92.61982764459131
205,121,"RINCÓN CHAMULA SAN PEDRO, CHIAPAS",7,CHIAPAS,17.21995935,-92.92945422627437
206,122,"EL PARRAL, CHIAPAS",7,CHIAPAS,16.3692304,-93.0029074
207,123,"EMILIANO ZAPATA, CHIAPAS",7,CHIAPAS,16.5086455,-92.91651939084298
208,124,"MEZCALAPA, CHIAPAS",7,CHIAPAS,17.2364959,-93.6349751688609
209,999,"NO ESPECIFICADO, CHIAPAS",7,CHIAPAS,,
210,1,"AHUMADA, CHIHUAHUA",8,CHIHUAHUA,30.6128489,-106.512403
211,2,"ALDAMA, CHIHUAHUA",8,CHIHUAHUA,29.114050650000003,-105.65011294121388
212,3,"ALLENDE, CHIHUAHUA",8,CHIHUAHUA,27.03471715,-105.38387031315352
213,4,"AQUILES SERDÁN, CHIHUAHUA",8,CHIHUAHUA,28.579498,-105.83357345661852
214,5,"ASCENSIÓN, CHIHUAHUA",8,CHIHUAHUA,31.2674321,-107.57006550611086
215,6,"BACHÍNIVA, CHIHUAHUA",8,CHIHUAHUA,28.8528591,-107.27257049300933
